sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
82, 748485389, -33.414066314697266, -8.469376564025879, -178.46990966796875, 0.010114729404449463, -0.10186731815338135, 0.43480348587036133, 1.6948237419128418, -6.183189392089844, 26.030458450317383, -22.059492111206055, -266.2158203125, -87.81812286376953, 
83, 748502056, -34.642635345458984, -15.950011253356934, -175.3271942138672, -0.18461662530899048, -0.16705691814422607, 0.5447281002998352, -8.651248931884766, -10.333181381225586, 33.34459686279297, -33.91465759277344, -476.15167236328125, -98.75144958496094, 
84, 748518723, -35.45482635498047, -28.286991119384766, -172.1196746826172, -0.5226128101348877, -0.740757167339325, 0.6624993085861206, -25.31589698791504, -45.496734619140625, 42.93727493286133, 23.766983032226562, -709.6818237304688, -279.24951171875, 
85, 748535390, -31.619104385375977, -48.59023666381836, -171.6916046142578, 0.23338067531585693, -1.0304782390594482, 0.628460705280304, 25.47348403930664, -58.782405853271484, 37.194393157958984, 243.7097930908203, -1028.6795654296875, -657.1921997070312, 
86, 748552057, -34.974727630615234, -70.39530181884766, -168.52955627441406, 1.4129801988601685, -0.8630250692367554, 0.3733636736869812, 92.28043365478516, -43.73219299316406, 7.520626068115234, -34.18986892700195, -1148.2894287109375, -638.2943725585938, 
87, 748568724, -84.56895446777344, -82.21172332763672, -118.66251373291016, 1.9978572130203247, -0.40317487716674805, 0.05986660718917847, 120.33155059814453, -20.48462677001953, -12.654329299926758, -44.44221878051758, -920.1890869140625, -211.1383514404297, 
88, 748585391, -117.97895050048828, -77.95860290527344, -84.77662658691406, 1.4828100204467773, -0.5969963073730469, 0.7425462007522583, 90.47339630126953, -38.030818939208984, 39.522377014160156, 1.4798420667648315, -386.9408874511719, 170.6026153564453, 
89, 748602058, -155.2273406982422, -76.62153625488281, -48.103851318359375, 0.5366301536560059, -0.13223367929458618, 1.0750749111175537, 36.09907531738281, -7.280452728271484, 62.53506088256836, -84.73027801513672, -384.2190856933594, -295.53485107421875, 
90, 748618725, 166.7204132080078, -71.76100158691406, -15.274345397949219, 0.996934711933136, -0.3498770594596863, 1.0219407081604004, 64.24261474609375, -19.847814559936523, 57.18111801147461, -381.6341857910156, -334.8594665527344, -501.4348449707031, 
91, 748635392, 147.0643768310547, -69.2812728881836, 1.668465495109558, 0.7216046452522278, -0.893846333026886, 0.8138458728790283, 46.22745132446289, -52.780548095703125, 47.07817459106445, -219.6719207763672, -7.203250885009766, -371.2032165527344, 
